,Recipient Number,Project Number,Project Status,Amount Recovered,Project Type,Commitment Date,Completion Date,Disbursements to Date,Type of Disbursement,Interest Rate,Eligible Project Costs from Related Public Dollars,Eligible Project Costs from 3rd Party Public Dollars,Eligible Project Costs from Related Private Dollars,Eligible Project Costs from 3rd Party Private Dollars,Total Eligible Project Costs,Total Project Costs,Project Address,Project City,Project State,Project Zip Code (5),Additional Locations,EDA Type,EDA Square Footage,First-Time Homebuyer,Homebuyer Income Category,Development Activity Project Number,Mask Geocoded Census Tract FIPS_x,Mask Geocoded Census Tract FIPS Location_x,Use of Funds,Amount of committed CMF Investment,Date Funds Committed,Stage of Investment,Disbursement Status,Date of First Disbursement,Date of Full Disbursement,Completed Rental Units,Completed Owner Occupied,Rental - Number of Projected Income Eligible Units,Rental - Total Number of Projected Units,Rental - Number of Cumulative Units Completed: Extremely Low-Income Occupants,Rental - Number of Cumulative Units Completed: Very Low-Income Occupants,Rental - Number of Cumulative Units Completed: Low-Income Occupants,Rental - Number of Cumulative Units Completed: Other Eligible Occupants,Rental - Number of Cumulative Units Completed: Non-Eligible Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Extremely Low-Income Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Very Low-Income Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Low-Income Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Other Eligible Occupants,Rental - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Non-Eligible Occupants,Rental - Number of Cumulative Units Occupied: Extremely Low-Income Occupants,Rental - Number of Cumulative Units Occupied: Very Low-Income Occupants,Rental - Number of Cumulative Units Occupied: Low-Income Occupants,Rental - Number of Cumulative Units Occupied: Other Eligible Occupants,Rental - Number of Cumulative Units Occupied: Non-Eligible Occupants,Use of Low-Income Housing Tax Credit Dollars,Owner-Occupied - Number of Projected Income Eligible Units,Owner-Occupied - Total Number of Projected Units,Owner-Occupied - Number of Cumulative Units Completed: Extremely Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Completed: Very Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Completed: Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Completed: Other Eligible Occupants,Owner-Occupied - Number of Cumulative Units Completed: Non-Eligible Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Extremely Low-Income Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Very Low-Income Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Low-Income Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Other Eligible Occupants,Owner-Occupied - Dollars Expended (CMF and Leveraged Funds) for Units Completed: Non-Eligible Occupants,Owner-Occupied - Number of Cumulative Units Occupied: Extremely Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Occupied: Very Low-Income Occupants,Low-Income Occupants,Owner-Occupied - Number of Cumulative Units Occupied: Other Eligible Occupants,Owner-Occupied - Number of Cumulative Units Occupied: Non-Eligible Occupants,Owner-Occupied - Number of Units Sold to First-Time Homebuyers: Extremely Low-Income Homebuyers,Owner-Occupied - Number of Units Sold to First-Time Homebuyers:  Very Low-Income Homebuyers,Owner-Occupied - Number of Units Sold to First-Time Homebuyers:  Low-Income Homebuyers,Owner-Occupied - Number of Units Sold to First-Time Homebuyers:  Other Eligible Homebuyers,Owner-Occupied - Number of Units Sold to First-Time Homebuyers:  Non-Eligible Homebuyers,Owner-Occupied - Minimum Sales Price,Owner-Occupied - Maximum Sales Price,new_index,Coordinates
10,1,20352,Complete,,MF - Preservation w/o Rehab,2012-12-20,2012-12-20 00:00:00,1300000,Debt,0.0625,0,0,1592233.01,16102949.03,17695182.04,17781500.0,850 Russell Avenue,Santa Rosa,CA,95403,,,,,,,06097152802,"CA, Sonoma, Santa Rosa, 95403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20352,POINT (-122.73566 38.46514)
11,1,20375,Complete,,MF - Preservation WITH Rehab,2012-09-12,2017-05-02 00:00:00,702868,Debt,0.05,0,0,2928273,16018360.75,18946633.75,19291118.0,29210 Stonewood Road,Temecula,CA,92591,,,,,,,06065043216,"CA, Riverside, Temecula, 92591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20375,POINT (-117.14771 33.51704)
12,1,20421,Complete,,MF - New Development,2012-11-14,2014-03-31 00:00:00,1036189,Debt,0.06,0,288395,1329096,15857447,17474938.0,19390000.0,Cypress Corner Lane at Huffmeister Road,Houston,TX,77065,,,,,,,48201552400,"TX, Harris, Houston, 77065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20421,POINT (-95.5967 29.93942)
13,1,20424,Complete,,MF - Preservation w/o Rehab,2012-12-20,2012-12-20 00:00:00,782000,Debt,0.06,0,900000,12280107,2599365.41,15779472.41,16126274.0,811 N. Eucalyptus Avenue,Inglewood,CA,90302,,,,,,,06037601303,"CA, Los Angeles, Inglewood, 90302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20424,POINT (-118.36178 33.97419)
14,1,20471,Complete,,MF - New Development,2013-06-18,2015-03-01 00:00:00,271252,Debt,0.065,0,1348784,366630,4240920,5956334.0,17870790.0,1640 Cabrillo Avenue,Torrance,CA,90501,,,,,,,06037650901,"CA, Los Angeles, Torrance, 90501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20471,POINT (-118.31813 33.83824)
15,1,20605,Complete,,MF - Preservation w/o Rehab,2014-02-07,2014-02-07 00:00:00,1150000,Debt,0.0575,0,0,4973250,5443371,10416621.0,10416621.0,7310 Marvin D Love Freeway,Dallas,TX,75237,,,,,,,48113010902,"TX, Dallas, Dallas, 75237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20605,POINT (-96.86381 32.65843)
16,1,20685,Complete,,EDA/CSF,2015-01-06,2016-05-23 00:00:00,415000,Debt,0.065,0,0,1577471,3491473,5068944.0,5068944.0,8101 S. Vernon Avenue,Los Angeles,CA,90044,,Multi-Service/Other,8258,,,,06037237720,"CA, Los Angeles, Los Angeles, 90044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20685,POINT (-118.28615 33.96929)
17,1,20619,Incomplete - Terminated,870773,MF - New Development,2014-02-28,,870773,Debt,0.0625,0,1115800,1665043,14119727,16900570.0,17458387.0,1830 W. Main Street,Mesa,AZ,85203,,,,,,,04013421601,"AZ, Maricopa, Mesa, 85203",,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20619,POINT (-111.79674 33.41891)
18,2,201001,Complete,,MF - Preservation WITH Rehab,2010-12-28,2011-06-27 00:00:00,179373,Debt,0.0335,,,,3587462,3587462.0,3587462.0,921 South Davis Street,Jerome,ID,83338,,,,,,,16053970400,"ID, Jerome, Jerome, 83338",Affordable Housing,179373,2010-12-28 00:00:00,Investment,Fully Disbursed,2011-08-06 00:00:00,2011-08-06 00:00:00,30,0,30,30,18,11,1,,,2152477,1315403,119582,,,18,11,1,,,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,2.201001,POINT (-114.52211 42.71997)
19,2,201002,Complete,,MF - Preservation WITH Rehab,2010-12-28,2011-09-09 00:00:00,180565,Debt,0.0335,,,,3611285,3611285.0,3611285.0,419 Miller Street,Lewiston,ID,83501,,,,,,,16069960300,"ID, Nez Perce, Lewiston, 83501",Affordable Housing,180565,2010-12-28 00:00:00,Investment,Fully Disbursed,2011-08-06 00:00:00,2011-08-06 00:00:00,40,0,40,40,24,14,2,,,2166771,1263950,180564,,,24,14,2,,,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,2.201002,POINT (-116.95844 46.46826)
20,2,201101,Complete,,MF - Preservation WITH Rehab,2011-02-01,2012-12-27 00:00:00,59945,Equity,0,,,,1189676,1189676.0,1427611.0,1333 Avalon Street,Klamath Falls,OR,97603,,,,,,,41035971600,"OR, Klamath, Klamath Falls, 97601",Affordable Housing,59945,2011-02-01 00:00:00,Investment,Fully Disbursed,2011-08-06 00:00:00,2011-08-06 00:00:00,30,0,30,30,18,11,1,,,713805,436215,39656,,,18,11,1,,,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,2.201101,POINT (-121.75786 42.21669)
21,2,201102,Complete,,MF - Preservation w/o Rehab,2011-08-06,2012-11-30 00:00:00,80117,Equity,0,,,,1578139,1578139.0,4421787.0,1220 Grand Avenue,Boise,ID,83702,,,,,,,16001000100,"ID, Ada, Boise City, 83702",Affordable Housing,80117,2011-08-06 00:00:00,Investment,Fully Disbursed,2011-08-06 00:00:00,2011-08-06 00:00:00,29,0,29,29,18,10,1,,,979534,544186,54419,,,18,10,1,,,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,2.201102,POINT (-116.20772 43.61626)
22,2,201201,Complete,,MF - Preservation w/o Rehab,2012-07-01,2014-01-15 00:00:00,50174,Equity,0,,,,1464206,1464206.0,1464206.0,3016 N Government Way,Coeur d'Alene,ID,83815,,,,,,,16055001200,"ID, Kootenai, Coeur dAlene, 83815",Affordable Housing,73211,2012-07-01 00:00:00,Reinvestment,Fully Disbursed,2012-07-01 00:00:00,2014-01-15 00:00:00,60,0,60,60,36,21,3,,,878524,512472,73210,,,36,21,3,,,no,0,0,,,,,,,,,,,,,,,,,,,,,,,2.201201,POINT (-116.77579 47.7117)
23,2,201401,Complete,,MF - Preservation w/o Rehab,2014-12-01,2015-06-01 00:00:00,28750,Equity,0,,,,377368,377368.0,377368.0,504 South 4th Street,Bridger,MT,59104,,,,,,,30009000200,"MT, Carbon, Fromberg, 59029",Affordable Housing,28750,2014-12-01 00:00:00,Reinvestment,Fully Disbursed,2015-06-01 00:00:00,2015-06-01 00:00:00,18,0,18,18,12,5,1,,,227368,131250,18750,,,12,5,1,,,no,0,0,,,,,,,,,,,,,,,,,,,,,,,2.201401,POINT (-109.00365 45.31696)
25,3,240250272,Complete,,MF - Rehab,2010-12-16,2012-02-28 00:00:00,4000000,Debt,0.035,,,,,7571035.0,7571035.0,4555 Holly Drive,Jackson,MS,39206,,,,,,,28049000400,"MS, Hinds, Jackson, 39206",Affordable Housing,4000000,2010-12-16 00:00:00,Investment,Fully Disbursed,2011-03-03 00:00:00,2011-10-05 00:00:00,60,0,60,60,12,12,36,0,0,2595783.09,3244728.86,1730522.06,0,0,21,36,3,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.240250272,POINT (-90.16415000000001 32.35418)
26,3,240060091,Complete,,MF - New Development,2010-10-28,2012-02-22 00:00:00,450000,Debt,0.075,,,,,6346573.0,6346573.0,1769 Pearman Road,Cleveland,MS,38732,,,,,,,28011950500,"MS, Bolivar, Boyle, 38730",Affordable Housing,450000,2010-10-28 00:00:00,Reinvestment,Fully Disbursed,2012-03-22 00:00:00,2012-03-22 00:00:00,44,0,44,44,6,12,26,0,0,288480.59,1298162.66,4759929.75,0,0,0,10,30,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.240060091,POINT (-90.72923 33.72111)
27,3,180400022,Complete,,MF - New Development,2010-10-28,2011-12-26 00:00:00,150000,Debt,0.07,,,,,8032549.0,8032549.0,402 Green Oaks Avenue,Alexandria,LA,71302,,,,,,,22079012900,"LA, Rapides Parish, Alexandria, 71302",Affordable Housing,150000,2010-10-28 00:00:00,Reinvestment,Fully Disbursed,2012-01-26 00:00:00,2012-01-26 00:00:00,60,0,56,56,21,25,14,0,0,2027955.54,3515122.93,1892758.5,0,0,23,15,23,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.180400022,POINT (-92.42928000000001 31.29441)
28,3,180530071,Complete,,SF - New Development,2010-10-28,2012-08-24 00:00:00,250000,Debt,0.07,,,,,1641750.0,1641750.0,exemption (b)(6),Independence,LA,70443,,,,,,,22105953600,"LA, Tangipahoa Parish, Independence, 70443",Affordable Housing,250000,2010-10-28 00:00:00,Reinvestment,Fully Disbursed,2012-09-24 00:00:00,2012-09-24 00:00:00,9,0,9,9,1,2,6,0,0,182416.66666666666,364833.3333333333,1094500,0,0,1,0,7,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.180530071,POINT (-90.52503 30.68219)
29,3,180230042,Complete,,SF - New Development,2010-10-28,2012-08-24 00:00:00,375000,Debt,0.07,,,,,1467041.0,1467041.0,exemption (b)(6),Jeanerette,LA,70544,,,,,,,22045031600,"LA, Iberia Parish, Jeanerette, 70544",Affordable Housing,375000,2010-10-28 00:00:00,Reinvestment,Fully Disbursed,2012-09-24 00:00:00,2012-09-24 00:00:00,10,0,10,10,1,2,7,0,0,146704.1,293408.2,1026928.7,0,0,0,0,10,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.180230042,POINT (-91.83673 29.64112)
30,3,180290051,Complete,,MF - New Development,2011-01-06,2012-10-02 00:00:00,1300000,Debt,0.07,,,,,6157049.0,6157049.0,900 Provost Street,Scott,LA,70583,,,,,,,22055001902,"LA, Lafayette Parish, Scott, 70583",Affordable Housing,1300000,2011-01-06 00:00:00,Reinvestment,Fully Disbursed,2012-11-02 00:00:00,2012-11-02 00:00:00,56,0,56,56,1,1,54,0,0,109948,109947,5937154,0,0,1,1,48,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.180290051,POINT (-92.10829 30.22318)
31,3,40650011,Complete,,SF - New Development,2011-04-28,2013-10-05 00:00:00,450000,Debt,0.0725,,,,,3591197.0,3591197.0,exemption (b)(6),Fort Smith,AR,72904,,,,,,,05131000200,"AR, Sebastian, Fort Smith, 72904",Affordable Housing,450000,2011-04-28 00:00:00,Reinvestment,Fully Disbursed,2013-11-05 00:00:00,2013-11-05 00:00:00,25,0,25,25,11,11,3,0,0,1580126.68,1580126.68,430943.64,0,0,11,11,3,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40650011,POINT (-94.40201999999999 35.42437)
32,3,40030011,Complete,,SF - New Development,2011-05-05,2013-11-20 00:00:00,700000,Debt,0.0725,,,,,4907377.0,4907377.0,exemption (b)(6),Gassville,AR,72635,,,,,,,05005950900,"AR, Baxter, Cotter, 72626",Affordable Housing,700000,2011-05-05 00:00:00,Reinvestment,Fully Disbursed,2013-12-20 00:00:00,2013-12-20 00:00:00,36,0,36,36,5,19,12,0,0,681580.14,2590004.53,1635792.33,0,0,5,19,12,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40030011,POINT (-92.48887000000001 36.31833)
33,3,40360011,Complete,,SF - New Development,2011-05-19,2013-12-22 00:00:00,250000,Debt,0.0725,,,,,3602727.0,3602727.0,exemption (b)(6),Clarksville,AR,72830,,,,,,,05071952000,"AR, Johnson, Clarksville, 72830",Affordable Housing,250000,2011-05-19 00:00:00,Reinvestment,Fully Disbursed,2014-01-22 00:00:00,2014-01-22 00:00:00,22,0,22,25,9,0,13,0,3,1296981.72,0,1873418.04,0,432327.24,9,0,13,0,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40360011,POINT (-93.51296000000001 35.43736)
34,3,40180061,Incomplete - Terminated,0,MF - Rehab,2011-12-01,,0,Debt,0.065,,,,,7186323.0,7186323.0,3968 E Service Road,West Memphis,AR,72301,,,,,,,05035030803,"AR, Crittenden, Marion, 72364",Affordable Housing,1380600,2011-12-01 00:00:00,Reinvestment,Committed - Not Yet Disbursed,,,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40180061,POINT (-90.15834 35.17409)
35,3,40180062,Incomplete - Terminated,0,MF - Rehab,2011-12-01,,0,Debt,0.065,,,,,7186323.0,7186323.0,3969 E Service Road,West Memphis,AR,72301,,,,,,,05035030600,"AR, Crittenden, Edmondson, 72332",Affordable Housing,1380600,2011-12-01 00:00:00,Reinvestment,Committed - Not Yet Disbursed,,,0,0,0,0,,,,,,,,,,,,,,,,No,0,0,,,,,,,,,,,,,,,,,,,,,,,3.40180062,POINT (-90.3086 35.02079)
36,3,240670061,Incomplete - Terminated,0,MF - Rehab,2012-04-26,,0,Debt,0.075,,,,,2828581.0,2828581.0,379 South Boulevard,Drew,MS,38737,,,,,,,28133950100,"MS, Sunflower, Parchman, 38738",Affordable Housing,1415619,2012-04-26 00:00:00,Reinvestment,Committed - Not Yet Disbursed,,,0,0,0,0,,,,,,,,,,,,,,,,No,0,0,,,,,,,,,,,,,,,,,,,,,,,3.240670061,POINT (-90.55282 33.87449)
37,3,240670062,Incomplete - Terminated,0,MF - Rehab,2012-04-26,,0,Debt,0.075,,,,,3086352.0,3086352.0,379 South Boulevard,Drew,MS,38737,,,,,,,28133950100,"MS, Sunflower, Parchman, 38738",Affordable Housing,220800,2012-04-26 00:00:00,Reinvestment,Committed - Not Yet Disbursed,,,0,0,0,0,,,,,,,,,,,,,,,,No,0,0,,,,,,,,,,,,,,,,,,,,,,,3.240670062,POINT (-90.55282 33.87449)
38,3,240450131,Complete,,MF - New Development,2013-11-26,2014-01-28 00:00:00,775000,Debt,0.0625,,,,,2070000.0,2070000.0,107 Parkview Drive,Canton,MS,39046,,,,,,,28089030500,"MS, Madison, Canton, 39046",Affordable Housing,775000,2013-11-26 00:00:00,Reinvestment,Fully Disbursed,2014-02-28 00:00:00,2014-02-28 00:00:00,0,0,36,36,,,,,,,,,,,,,,,,No,0,0,,,,,,,,,,,,,,,,,,,,,,,3.240450131,POINT (-90.05071 32.61937)
39,3,40180063,Complete,,MF - Rehab,2013-12-20,2015-12-22 00:00:00,1356750,Debt,0.065,,,,,7337543.0,7337543.0,3990 E Service Road,West Memphis,AR,72301,,,,,,,05035030803,"AR, Crittenden, Marion, 72364",Affordable Housing,1356750,2013-12-20 00:00:00,Reinvestment,Fully Disbursed,2015-12-22 00:00:00,2015-12-22 00:00:00,0,0,56,56,,,,,,,,,,,,,,,,No,0,0,,,,,,,,,,,,,,,,,,,,,,,3.40180063,POINT (-90.15834 35.17409)
40,3,240620021,Complete,,MF - New Development,2013-12-12,2014-05-19 00:00:00,790816,Debt,0.065,,,,,3192444.0,3192444.0,100 Seventh Street,Forest,MS,39074,,,,,,,28123020500,"MS, Scott, Forest, 39074",Affordable Housing,790816,2013-12-12 00:00:00,Reinvestment,Fully Disbursed,2014-06-19 00:00:00,2014-06-19 00:00:00,32,0,32,32,26,6,0,0,0,2593860.75,598583.25,0,0,0,18,11,3,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.240620021,POINT (-89.47838 32.36562)
41,3,240820011,Complete,,MF - New Development,2013-09-19,2016-07-15 00:00:00,885300,Debt,0.07,,,,,8897337.0,8897337.0,280 Magnolia Drive,Yazoo City,MS,39194,,,,,,,28163950300,"MS, Yazoo, Yazoo City, 39194",Affordable Housing,885300,2013-09-19 00:00:00,Reinvestment,Fully Disbursed,2016-07-15 00:00:00,2016-07-15 00:00:00,86,0,86,86,78,8,0,0,0,8069677.74,827659.26,0,0,0,0,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.240820011,POINT (-90.4087 32.87225)
